A,B,V(A),V(B),Out,V(Out),Err. V(Out)
0,0,V_{0},V_{0},0,0.081,0.010243
0,1,V_{0},V_{1},1,4.14,0.02242
1,0,V_{1},V_{0},1,4.14,0.02242
1,1,V_{1},V_{1},1,4.15,0.02245
