fondoscalaV, V, sigmaV, I, sigmaI, fondoscalaI
1.00, 4,00, 0.13,   29.20, 0.14, 40
1.00, 3.80, 0.12,   29.08, 0.14, 40
1.00, 3.60, 0.12,   28.90, 0.14, 40
1.00, 3.40, 0.11,   28.69, 0.13, 40
1.00, 3.20, 0.11,   28.51, 0.13, 40
1.00, 3.00, 0.10,   28.30, 0.13, 40
1.00, 2.80, 0.10,   28.08, 0.13, 40
1.00, 2.60, 0.09,   27.82, 0.13, 40
1.00, 2.40, 0.09,   27.59, 0.13, 40
1.00, 2.20, 0.08,   27.34, 0.13, 40
1.00, 2.00, 0.08,   27.13, 0.13, 40
0.50, 1.80, 0.06,   26.77, 0.13, 40
0.50, 1.60, 0.05,   26.51, 0.13, 40
0.50, 1.40, 0.05,   26.19, 0.12, 40
0.50, 1.20, 0.04,   25.89, 0.12, 40
0.50, 1.00, 0.04,   25.53, 0.12, 40
0.20, 0.80, 0.03,   25.02, 0.12, 40
0.20, 0.72, 0.02,   24.77, 0.12, 40
0.20, 0.64, 0.02,   24.45, 0.12, 40
0.20, 0.56, 0.02,   23.96, 0.12, 40
0.20, 0.48, 0.02,   23.24, 0.11, 40
0.20, 0.40, 0.02,   22.07, 0.11, 40
0.20, 0.320, 0.014, 20.53, 0.10, 40
0.05, 0.250, 0.008, 18.57, 0.09, 40
0.05, 0.200, 0.007, 16.05, 0.08, 40
0.05, 0.150, 0.005, 11.12, 0.06, 40
0.05, 0.100, 0.004,  4.89, 0.04, 40
0.05, 0.050, 0.003,  0.93, 0.02, 40
