fondoscalaV, V, sigmaV, I, sigmaI, fondoscalaI
1.00, 4,00, 0.13, 21.52, 0.11, 40
1.00, 3.80, 0.12, 21.42, 0.11, 40
1.00, 3.60, 0.12, 21.28, 0.11, 40
1.00, 3.40, 0.11, 21.14, 0.10, 40
1.00, 3.20, 0.11, 21.00, 0.10, 40
1.00, 3.00, 0.10, 20.85, 0.10, 40
1.00, 2.80, 0.10, 20.66, 0.10, 40
1.00, 2.60, 0.09, 20.48, 0.10, 40
1.00, 2.40, 0.09, 20.32, 0.10, 40
1.00, 2.20, 0.08, 20.13, 0.10, 40
1.00, 2.00, 0.08, 19.94, 0.10, 40
0.50, 1.80, 0.06, 19.67, 0.10, 40
0.50, 1.60, 0.05, 19.48, 0.10, 40
0.50, 1.40, 0.05, 19.24, 0.10, 40
0.50, 1.20, 0.04, 18.97, 0.10, 40
0.50, 1.00, 0.04, 18.71, 0.09, 40
0.20, 0.80, 0.03, 18.34, 0.09, 40
0.20, 0.72, 0.02, 18.18, 0.09, 40
0.20, 0.64, 0.02, 18.01, 0.09, 40
0.20, 0.56, 0.02, 17.77, 0.09, 40
0.20, 0.48, 0.02, 17.49, 0.09, 40
0.20, 0.40, 0.02, 17.03, 0.09, 40
0.20, 0.320, 0.014, 16.16, 0.08, 40
0.05, 0.250, 0.008, 14.73, 0.08, 40
0.05, 0.200, 0.007, 12.99, 0.07, 40
0.05, 0.150, 0.005, 8.95, 0.06, 40
0.05, 0.100, 0.004, 3.77, 0.04, 40
0.05, 0.050, 0.003, 0.65, 0.02, 40
