V_{1},V_{2},V_{1},V_{2},V_{out},V_{out},Err. V(Out)
0,0,V_{0},V_{0},0,0,0.01
0,1,V_{0},V_{1},1,4.52,0.02356
1,0,V_{1},V_{0},1,4.57,0.02371
1,1,V_{1},V_{1},1,4.59,0.02377
