A,B,V(A),V(B),Out,V(Out),Err. V(Out)
0,0,V_{0},V_{0},0,0.402,0.011206
0,1,V_{0},V_{1},1,5.03,0.02509
1,0,V_{1},V_{0},1,5.03,0.02509
1,1,V_{1},V_{1},0,0.443,0.011329
