A,B,V(A),V(B),Out,V(Out),Err. V(Out)
0,0,V_{0},V_{0},0,0.364,0.011092
0,1,V_{0},V_{1},1,5.03,0.02509
1,0,V_{1},V_{0},1,5.03,0.02509
1,1,V_{1},V_{1},0,0.4,0.0112
