Volt,mA,Scala(V)
4.00E+00,2.15E+01,1.00E+00
3.80E+00,2.14E+01,1.00E+00
3.60E+00,2.13E+01,1.00E+00
3.40E+00,2.11E+01,1.00E+00
3.20E+00,2.10E+01,1.00E+00
3.00E+00,2.09E+01,1.00E+00
2.80E+00,2.07E+01,1.00E+00
2.60E+00,2.05E+01,1.00E+00
2.40E+00,2.03E+01,1.00E+00
2.20E+00,2.01E+01,1.00E+00
2.00E+00,1.99E+01,1.00E+00
1.80E+00,1.97E+01,5.00E-01
1.60E+00,1.95E+01,5.00E-01
1.40E+00,1.92E+01,5.00E-01
1.20E+00,1.90E+01,5.00E-01
1.00E+00,1.87E+01,5.00E-01
8.00E-01,1.83E+01,2.00E-01
7.20E-01,1.82E+01,2.00E-01
6.40E-01,1.80E+01,2.00E-01
5.60E-01,1.78E+01,2.00E-01
4.80E-01,1.75E+01,2.00E-01
4.00E-01,1.70E+01,2.00E-01
3.20E-01,1.62E+01,2.00E-01
2.50E-01,14.73000,5.00E-02
2.00E-01,12.99000,5.00E-02
1.50E-01,8.950000,5.00E-02
1.00E-01,3.770000,5.00E-02
5.00E-02,0.650000,5.00E-02
