Volt,mA,Scala(V)
4.00E+00,2.92E+01,1.00E+00
3.80E+00,2.91E+01,1.00E+00
3.60E+00,2.89E+01,1.00E+00
3.40E+00,2.87E+01,1.00E+00
3.20E+00,2.85E+01,1.00E+00
3.00E+00,2.83E+01,1.00E+00
2.80E+00,2.81E+01,1.00E+00
2.60E+00,2.78E+01,1.00E+00
2.40E+00,2.76E+01,1.00E+00
2.20E+00,2.73E+01,1.00E+00
2.00E+00,2.71E+01,1.00E+00
1.80E+00,2.68E+01,5.00E-01
1.60E+00,2.65E+01,5.00E-01
1.40E+00,2.62E+01,5.00E-01
1.20E+00,2.59E+01,5.00E-01
1.00E+00,2.55E+01,5.00E-01
8.00E-01,2.50E+01,2.00E-01
7.20E-01,2.48E+01,2.00E-01
6.40E-01,2.45E+01,2.00E-01
5.60E-01,2.40E+01,2.00E-01
4.80E-01,2.32E+01,2.00E-01
4.00E-01,2.21E+01,2.00E-01
3.20E-01,2.05E+01,2.00E-01
2.50E-01,1.86E+01,5.00E-02
2.00E-01,1.61E+01,5.00E-02
1.50E-01,1.11E+01,5.00E-02
1.00E-01,4.89E+00,5.00E-02
5.00E-02,9.30E-01,5.00E-02
